 ,Area,Mean,X,Y,Circ.,AR,Round,Solidity
3394,0.141,189.265,92.493,120.230,0.943,1.311,0.763,0.875
3395,0.162,128.616,9.179,120.365,0.978,1.156,0.865,0.842
3396,0.276,150.593,124.364,120.485,0.866,1.167,0.857,0.872
3397,0.081,169.588,193.674,120.505,0.967,1.579,0.633,0.889
3398,0.222,187.921,199.093,120.785,1.000,1.344,0.744,0.904
3399,0.108,180.096,118.896,120.840,1.000,1.234,0.810,0.889
3400,0.027,95.143,188.224,120.779,1.000,1.000,1.000,1.000
3401,0.094,140.463,223.342,120.849,0.811,1.837,0.545,0.757
3402,0.040,148.221,214.932,120.861,1.000,1.500,0.667,1.000
3403,0.182,182.315,207.091,121.099,0.967,1.124,0.890,0.871
3404,0.135,171.461,212.052,121.062,1.000,1.083,0.923,0.889
3405,0.155,106.772,12.252,121.251,1.000,1.174,0.852,0.885
3406,0.108,161.908,217.126,121.199,1.000,1.150,0.869,0.889
3407,0.047,185.766,242.008,121.171,1.000,1.069,0.936,0.875
3408,0.175,160.707,119.699,121.340,1.000,1.131,0.884,0.881
3409,0.047,177.888,230.779,121.277,0.800,1.387,0.721,0.737
3410,0.088,179.909,203.413,121.343,1.000,1.159,0.863,0.897
3411,0.047,180.165,226.747,121.394,1.000,1.596,0.626,0.875
3412,0.020,233.223,75.145,121.421,1.000,1.464,0.683,0.857
3413,0.135,138.966,160.179,121.570,0.965,1.203,0.831,0.851
3414,0.054,187.814,200.337,121.876,1.000,1.229,0.814,0.941
3415,0.148,181.922,206.857,122.255,0.897,1.244,0.804,0.800
3416,0.128,180.492,213.610,122.344,1.000,1.273,0.785,0.974
3417,0.040,199.717,200.039,122.379,1.000,1.500,0.667,1.000
3418,0.040,133.683,155.281,122.420,1.000,1.500,0.667,1.000
3419,0.034,191.528,104.590,122.756,1.000,1.553,0.644,0.909
3420,0.249,159.774,116.799,123.281,1.000,1.000,1.000,0.902
3421,0.027,159.119,235.116,123.096,1.000,1.468,0.681,0.800
3422,0.619,157.811,7.170,123.517,0.964,1.052,0.950,0.906
3423,0.094,184.855,202.097,123.258,0.911,1.563,0.640,0.848
3424,0.276,278.201,244.402,123.543,0.928,1.480,0.676,0.882
3425,0.936,148.877,207.717,123.793,0.925,1.300,0.769,0.917
3426,0.155,164.508,8.999,123.631,0.964,1.174,0.852,0.885
3427,0.121,153.201,210.378,123.710,1.000,1.218,0.821,0.947
3428,0.054,154.801,229.126,123.732,0.914,1.195,0.837,0.800
3429,0.141,189.895,114.779,123.836,1.000,1.116,0.896,0.857
3430,0.027,142.479,189.701,123.732,1.000,1.000,1.000,1.000
3431,0.054,145.180,234.552,123.763,1.000,1.229,0.814,0.941
3432,0.013,231.486,81.476,123.773,1.000,2.000,0.500,1.000
3433,0.202,146.122,193.847,124.041,1.000,1.416,0.706,0.938
3434,0.094,192.612,202.419,123.879,1.000,1.020,0.981,0.933
3435,0.182,215.696,224.422,123.992,0.967,1.695,0.590,0.915
3436,0.175,217.663,223.547,124.143,1.000,1.184,0.845,0.929
3437,0.088,239.921,226.091,124.127,0.956,1.551,0.645,0.929
3438,0.202,209.525,77.997,124.320,0.929,1.608,0.622,0.857
3439,0.108,176.899,213.044,124.553,1.000,1.209,0.827,0.889
3440,0.088,175.533,231.815,124.771,1.000,1.796,0.557,0.929
3441,0.108,175.682,201.260,125.107,1.000,1.150,0.869,0.889
3442,0.020,201.981,196.826,125.031,1.000,1.464,0.683,0.857
3443,0.182,195.066,215.959,125.202,1.000,1.316,0.760,0.885
3444,0.263,203.327,98.195,125.349,0.978,1.114,0.898,0.876
3445,0.067,195.978,209.836,125.185,1.000,1.288,0.776,0.909
3446,0.047,204.238,226.583,125.192,1.000,1.069,0.936,0.875
3447,0.061,185.708,212.224,125.250,1.000,1.000,1.000,1.000
